ID (read-only),Parent ID (read-only),Date (UTC),Type,Tag,From Wallet (read-only),From Wallet ID,From Amount,From Currency,To Wallet (read-only),To Wallet ID,To Amount,To Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Fee Worth Amount,Fee Worth Currency,Net Value (read-only),Fee Value (read-only),Value Currency (read-only),Deleted,From Source (read-only),To Source (read-only),Negative Balances (read-only),Missing Rates (read-only),Missing Cost Basis (read-only),Synced To Accounting At (UTC read-only),TxSrc,TxDest,TxHash,Description
C8C6F2E164F61EC778F6C545E2B08B21,,2023-06-05 23:43:35,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0043845121,ETH;3,,,0.0,,0.0,,0.0,,0.0,,7.9547699099,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x90e9eef7b5b9b5d262070f18a3eb8a077f516687,0x7c4560e589e9181bafed9fb574b722fe47d1a591703c643bcd4c7c2a7aaebc2c,
4E5AAFCEBA313944E3434339F4ECC8B5,,2023-06-05 23:43:47,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0043552086,ETH;3,,,0.0,,0.0,,0.0,,0.0,,7.9016049066,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x6f9388b0f1b23f6af6b1b5de45be8d09b4694fef,0xf284b23a89cf7ccca978fa9431fdae7bc48b7628991241b3682f1be22a869ddb,
DBAF3B7DBCF4A3AD672271E190A7EC2C,,2023-06-05 23:43:59,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0043495007,ETH;3,,,0.0,,0.0,,0.0,,0.0,,7.8912491293,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0xb497ffd6120a352ae1df945d8e5d85926fd1ffc5,0x4a0b300a71bbd1bdd8f21f6163c0fa983ec6a97b39401a87e15326f8261e67bb,
8B67543B78450E161C0E6ADF61EFF272,,2023-06-05 23:44:11,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0044895939,ETH;3,,,0.0,,0.0,,0.0,,0.0,,8.1454186119,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0xf5c2c0206af5318c181a5541bcd5e8af855ca032,0x5bd62960bfa2fd2845c9aa4b7cb859b44e432eb9542a87d5d19ef2741c5e5319,
414DC60062453249A21B62A3CF93210A,,2023-06-05 23:44:23,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0044150464,ETH;3,,,0.0,,0.0,,0.0,,0.0,,8.0101679394,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0xe5d65871893a4208b34e0d58b1d5b816d40bfa3a,0x827edbfb3731b987442f853e407be20c437a40c7c305c58915805515afef8474,
DD686D5581DDB9AE1755AA6AF6BAE6D2,,2023-06-05 23:44:35,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0042922078,ETH;3,,,0.0,,0.0,,0.0,,0.0,,7.7873032793,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x2b7607774acbc78ace7149c4e181421cc203d8ec,0x52523cc57036894e44b7aa795e39f652b0994d042c0af7a3ac00c8214a7643ae,
AD2A24405BA72E3EE5D8A9FD6CBEE885,,2023-06-05 23:44:47,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0041679059,ETH;3,,,0.0,,0.0,,0.0,,0.0,,7.5617837708,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0xc81a4b1739d91709fca2d81f860d3308a404ed21,0x4f9467474efba9254a7b9dfad8e1c0f3757d866975c7b67db52daf670410d107,
EDB420750ADAA889344237DF61E5E44E,,2023-06-05 23:44:59,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.004210241,ETH;3,,,0.0,,0.0,,0.0,,0.0,,7.6385918561,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x221b734332155d80c93a185138fb5bed2451f33a,0xf4388306540a8941f344dd1a29bf1fdb7a85f4b3cf57d0966b33b427a49f0387,
E474F3EA1D276FE9A9F3FAE11FE82B53,,2023-06-05 23:45:11,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0039580443,ETH;3,,,0.0,,0.0,,0.0,,0.0,,7.1810342819,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0xb34c0a8d6b64ce4a0e3a499c1c0a9a186f5ccf4d,0x17f308b6df17dfb28979343606e4805e27cb5b9f6daac2366b21953c7d6947f5,
2B9699CA33E2DB02BBD0B7F6C3677CD7,,2023-06-05 23:45:23,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0046508462,ETH;3,,,0.0,,0.0,,0.0,,0.0,,8.4379768064,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x5e3eec14716622c75da05e2d7997ccf6c6227765,0x78513b5796ad329c503333f2164b41372babd2bb9cf657a63e7ebdc14efafdd6,
E0429FA09D3AB7304EB84CD36072E9BA,,2023-06-05 23:45:35,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0042676315,ETH;3,,,0.0,,0.0,,0.0,,0.0,,7.7427147807,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x5bb0c27a8c6cfcddd81b93a74919c64fbd9b3e98,0xed493768ec1bb4b80f504fe5e3079db51a251fdd85e67d8c1f814d180af9906e,
14AA64C784F614A8DF43B904F8115A93,,2023-06-05 23:45:47,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0043529067,ETH;3,,,0.0,,0.0,,0.0,,0.0,,7.8974285959,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x18513596c7be5d120a9cf40f7bbf5063cd4b277c,0x74c96e0815803dc778f39d17e5a5542bc8dd91c1fc4643375bf96c08a0d74bd1,
99F83802EBD053C7EDA34BBA5BB22175,,2023-06-05 23:45:59,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0041387307,ETH;3,,,0.0,,0.0,,0.0,,0.0,,7.5088515407,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x8a449ac07c11f731a9a2665cb6004daaefb60423,0xb520abb1793c8382e627b3944ec08c53be1a2d1a87ffad11f0643d28fb77a212,
59BFB8DEBB53D302590A40637CD5586B,,2023-06-05 23:46:11,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0042782144,ETH;3,,,0.0,,0.0,,0.0,,0.0,,7.7619152145,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x6a00066509093cc9d13a6fef3a3ed01c013a3c67,0x8f71b04467d7a7e1b18b7ead2d43b92e40473175b0e4ee2d43bc79330139ea6e,
A2F7474CFB833914539CC21B83DAD09B,,2023-06-05 23:46:23,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0043349801,ETH;3,,,0.0,,0.0,,0.0,,0.0,,7.8649045716,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x30890037332ab907810074ff47b72ff9ad9973a0,0x77692a9be9904b27751f0a927ce8179f5dc984162aeec9e0c3a683c8af52a626,
D869539B3C707FAAEF5B91B5145A5928,,2023-06-05 23:46:35,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0044957216,ETH;3,,,0.0,,0.0,,0.0,,0.0,,8.1565360276,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x05e1a13fb48162fa9fcea13f60a52a418f4350ac,0x27e0119dbc12f8d0b05279972e9397a273d4c58892c3a2ca39d8cfbd17ae5b34,
D399BCCB75443A6AFDA7EA7E036BA416,,2023-06-05 23:46:47,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0042559069,ETH;3,,,0.0,,0.0,,0.0,,0.0,,7.7214429736,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x6ba08dc8a720c6e3c631397c433fda415e39c810,0x7bfa03418cfc01d15571e171683575c3152c5be17afd6836d53f5a7fcd5bad12,
